epoch,accuracy,f1_score,loss,val_accuracy,val_f1_score,val_loss
1,0.0449,0.0248,5.4214,0.0384,0.0212,5.2347
2,0.0558,0.022,5.1072,0.0217,0.0129,5.6139
3,0.065,0.0283,4.9649,0.0417,0.0251,5.2081
4,0.072,0.0345,4.875,0.039,0.0244,5.2411
5,0.0814,0.041,4.8033,0.0601,0.036,5.0063
6,0.0935,0.0484,4.7424,0.0662,0.0419,5.0432
7,0.101,0.0548,4.6777,0.0662,0.0471,5.0858
8,0.1094,0.0616,4.6201,0.069,0.0491,5.1107
9,0.1187,0.0687,4.5663,0.0634,0.0491,5.0737
10,0.1254,0.0768,4.5201,0.064,0.047,5.0244
11,0.1473,0.0933,4.4254,0.089,0.0696,4.8194
12,0.1623,0.1045,4.3476,0.084,0.0691,4.9299
13,0.1768,0.1167,4.2902,0.0812,0.0674,4.9144
14,0.1851,0.126,4.234,0.0824,0.073,4.916
15,0.2029,0.1408,4.1816,0.0857,0.0751,4.942
16,0.2124,0.1488,4.1319,0.0807,0.0703,5.0655
17,0.2326,0.167,4.0541,0.1213,0.1009,4.6698
18,0.2524,0.183,3.9881,0.1302,0.1063,4.6196
19,0.2608,0.1914,3.9442,0.1347,0.1122,4.5778
20,0.2744,0.2029,3.8976,0.1391,0.1199,4.5402
21,0.2834,0.2107,3.8565,0.1402,0.1194,4.5188
22,0.2964,0.2214,3.8169,0.1391,0.1182,4.5783
23,0.3071,0.2311,3.7762,0.1452,0.124,4.5992
24,0.3189,0.2406,3.7371,0.1363,0.1121,4.6525
25,0.3417,0.26,3.697,0.1391,0.1173,4.7092
26,0.3518,0.2706,3.6576,0.1313,0.1096,4.7792
27,0.3666,0.2827,3.6116,0.1391,0.1188,4.7415
28,0.3802,0.2949,3.565,0.1425,0.1252,4.7209
